Time,Channel A
(ms),(V)

17.74806643,0.00000000
17.74857043,0.00000000
17.74907443,0.00000000
17.74957843,-0.04675197
17.75008243,0.00000000
17.75058643,0.00000000
17.75109043,0.04675197
17.75159443,0.00000000
17.75209843,0.00000000
17.75260243,0.04675197
17.75310643,0.00000000
17.75361043,0.00000000
17.75411443,0.04675197
17.75461843,-0.04675197
17.75512243,0.00000000
17.75562643,0.00000000
17.75613043,0.04675197
17.75663443,-0.04675197
17.75713843,-0.04675197
17.75764243,0.00000000
17.75814643,0.00000000
17.75865043,-0.04675197
17.75915443,0.00000000
17.75965843,-0.04675197
17.76016243,0.00000000
17.76066643,0.00000000
17.76117043,0.00000000
17.76167444,0.00000000
17.76217844,0.04675197
17.76268244,0.04675197
17.76318644,0.04675197
17.76369044,0.00000000
17.76419444,-0.04675197
17.76469844,0.00000000
17.76520244,0.00000000
17.76570644,0.00000000
17.76621044,0.04675197
17.76671444,0.00000000
17.76721844,0.04675197
17.76772244,0.00000000
17.76822644,0.09350394
17.76873044,0.04675197
17.76923444,0.04675197
17.76973844,0.00000000
17.77024244,0.04675197
17.77074644,0.00000000
17.77125044,0.00000000
17.77175444,0.00000000
17.77225844,0.00000000
17.77276244,0.00000000
17.77326644,0.00000000
17.77377044,-0.04675197
17.77427444,0.00000000
17.77477844,-0.04675197
17.77528244,0.00000000
17.77578644,0.00000000
17.77629044,0.04675197
17.77679444,0.00000000
17.77729844,0.00000000
17.77780244,0.00000000
17.77830644,0.00000000
17.77881044,0.00000000
17.77931444,0.04675197
17.77981844,0.00000000
17.78032244,0.00000000
17.78082644,0.00000000
17.78133044,0.00000000
17.78183444,0.00000000
17.78233844,0.00000000
17.78284244,0.04675197
17.78334644,0.04675197
17.78385044,0.04675197
17.78435444,0.04675197
17.78485844,0.04675197
17.78536244,0.04675197
17.78586644,0.04675197
17.78637044,0.00000000
17.78687444,0.00000000
17.78737844,0.04675197
17.78788244,0.00000000
17.78838644,0.00000000
17.78889044,0.00000000
17.78939444,0.04675197
17.78989844,0.00000000
17.79040244,0.04675197
17.79090644,0.04675197
17.79141044,0.00000000
17.79191444,0.00000000
17.79241844,0.04675197
17.79292244,0.00000000
17.79342644,0.04675197
17.79393044,0.00000000
17.79443444,0.00000000
17.79493844,0.04675197
17.79544244,0.00000000
17.79594644,0.04675197
17.79645044,0.04675197
17.79695444,0.00000000
17.79745844,0.00000000
17.79796244,0.00000000
17.79846644,0.00000000
17.79897044,0.00000000
17.79947444,0.00000000
17.79997844,0.00000000
17.80048244,-0.04675197
17.80098644,0.00000000
17.80149044,0.00000000
17.80199444,0.00000000
17.80249844,0.04675197
17.80300244,0.00000000
17.80350644,0.00000000
17.80401044,0.00000000
17.80451444,0.00000000
17.80501844,0.00000000
17.80552244,0.04675197
17.80602644,0.00000000
17.80653044,0.00000000
17.80703444,0.00000000
17.80753844,0.04675197
17.80804244,0.00000000
17.80854644,0.00000000
17.80905044,0.00000000
17.80955444,0.04675197
17.81005844,0.00000000
17.81056244,0.04675197
17.81106644,0.00000000
17.81157044,0.00000000
17.81207444,0.00000000
17.81257844,0.04675197
17.81308244,0.00000000
17.81358644,0.00000000
17.81409044,0.00000000
17.81459444,-0.04675197
17.81509844,0.00000000
17.81560244,0.00000000
17.81610644,-0.04675197
17.81661044,0.04675197
17.81711444,-0.04675197
17.81761844,0.04675197
17.81812244,-0.04675197
17.81862644,0.00000000
17.81913044,0.00000000
17.81963444,0.00000000
17.82013844,0.00000000
17.82064244,0.04675197
17.82114644,0.04675197
17.82165044,0.00000000
17.82215444,0.00000000
17.82265844,0.00000000
17.82316244,0.00000000
17.82366644,0.04675197
17.82417044,0.04675197
17.82467444,0.00000000
17.82517844,0.00000000
17.82568244,0.04675197
17.82618644,0.00000000
17.82669044,0.00000000
17.82719444,0.00000000
17.82769844,0.04675197
17.82820244,0.00000000
17.82870644,0.04675197
17.82921044,0.00000000
17.82971444,0.04675197
17.83021844,0.00000000
17.83072244,0.00000000
17.83122644,0.00000000
17.83173044,-0.04675197
17.83223444,0.00000000
17.83273844,0.00000000
17.83324244,0.04675197
17.83374644,0.00000000
17.83425044,0.04675197
17.83475444,0.00000000
17.83525844,0.00000000
17.83576244,0.04675197
17.83626644,0.04675197
17.83677044,0.04675197
17.83727444,0.00000000
17.83777844,0.00000000
17.83828244,0.04675197
17.83878644,0.04675197
17.83929044,0.00000000
17.83979444,0.00000000
17.84029844,0.04675197
17.84080244,0.00000000
17.84130644,0.00000000
17.84181044,0.04675197
17.84231444,-0.04675197
17.84281844,-0.04675197
17.84332244,0.04675197
17.84382644,0.00000000
17.84433044,0.00000000
17.84483444,0.00000000
17.84533844,0.00000000
17.84584244,0.04675197
17.84634644,0.04675197
17.84685044,0.00000000
17.84735444,0.00000000
17.84785844,0.00000000
17.84836244,0.00000000
17.84886644,0.00000000
17.84937044,0.00000000
17.84987444,0.04675197
17.85037844,0.04675197
17.85088244,0.00000000
17.85138644,0.00000000
17.85189044,0.00000000
17.85239444,0.00000000
17.85289844,0.04675197
17.85340244,0.04675197
17.85390644,0.00000000
17.85441044,0.00000000
